"query","search interest","increase percent"
"wedding venues near me",100,"7%"
"venues near me",99,"20%"
"wedding venue",73,"40%"
"best wedding venues",37,"20%"
"small wedding venues",30,"20%"
"barn wedding venues",27,"-20%"
"outdoor wedding venues",27,"-30%"
"cheap wedding venues",25,"-30%"
"wedding reception",24,"-30%"
"wedding reception venues",24,"-30%"
"beach wedding venues",23,"-10%"
"farm wedding venues",16,"-8%"
"affordable wedding venues",16,"4%"
"wedding venues florida",15,"10%"
"florida wedding venues",14,"3%"
"garden wedding venues",14,"-1%"
"wedding venues california",13,"-10%"
"wedding venues ohio",12,"-10%"
"country wedding venues",12,"-20%"
"nj wedding venues",12,"-30%"
"texas wedding venues",12,"-1%"
"all inclusive wedding venues",12,"70%"
"wedding venue near me",12,"30%"
"wedding venues nj",11,"-30%"
"airbnb",11,"130%"
"mansion wedding venues",10,"10%"
"mountain wedding venues",10,"3%"
"airbnb wedding venues",10,"120%"
"wedding venues colorado",10,"-4%"
"michigan wedding venues",10,"-3%"
"colorado wedding venues",10,"-7%"
"wedding dresses",9,"-20%"
"winery wedding venues",9,"-10%"
"chicago wedding venues",9,"-5%"
"castle wedding venues",9,"20%"
"wedding venues chicago",8,"-5%"
"unique wedding venues",8,"3%"
"wedding dress",8,"20%"
"micro wedding venues",8,"850%"
"barn wedding venues near me",7,"-7%"
"wedding barn venues near me",7,"-10%"
"church wedding venues",7,"-4%"
"the knot",7,"-6%"
"wedding ceremony venues",7,"-1%"
"wedding venues dallas",7,"-2%"
"the knot wedding venues",7,"-6%"
"small wedding venues near me",7,"60%"
"free wedding venues",7,"-2%"
"cheap wedding venues near me",7,"-2%"
"dallas wedding venues",6,"2%"
