Category: All categories

Week,grilling: (United States),meal prep: (United States),air fryer: (United States)
2021-08-08,73,20,13
2021-08-15,69,21,13
2021-08-22,65,22,14
2021-08-29,59,21,14
2021-09-05,48,21,13
2021-09-12,44,21,15
2021-09-19,41,23,14
2021-09-26,35,21,15
2021-10-03,34,22,15
2021-10-10,28,21,15
2021-10-17,24,23,19
2021-10-24,24,20,22
2021-10-31,23,21,24
2021-11-07,20,21,30
2021-11-14,19,23,38
2021-11-21,20,22,44
2021-11-28,19,25,56
2021-12-05,18,25,63
2021-12-12,19,34,60
2021-12-19,17,37,62
2021-12-26,18,44,67
2022-01-02,18,57,61
2022-01-09,19,60,50
2022-01-16,17,66,47
2022-01-23,19,56,40
2022-01-30,18,53,31
2022-02-06,18,45,25
2022-02-13,19,35,21
2022-02-20,19,31,18
2022-02-27,21,26,17
2022-03-06,22,24,14
2022-03-13,25,23,15
2022-03-20,25,24,13
2022-03-27,27,21,13
2022-04-03,30,20,14
2022-04-10,37,21,14
2022-04-17,40,23,14
2022-04-24,46,23,14
2022-05-01,54,23,13
2022-05-08,58,21,15
2022-05-15,68,22,14
2022-05-22,67,22,14
2022-05-29,76,21,13
2022-06-05,77,20,13
2022-06-12,87,21,15
2022-06-19,89,21,14
2022-06-26,100,22,13
2022-07-03,96,22,13
2022-07-10,100,23,14
2022-07-17,88,22,14
2022-07-24,84,22,13
2022-07-31,77,23,14
2022-08-07,81,23,14
2022-08-14,68,21,14
2022-08-21,67,23,14
2022-08-28,57,22,13
2022-09-04,52,22,14
2022-09-11,43,22,13
2022-09-18,41,22,13
2022-09-25,37,20,14
2022-10-02,33,20,15
2022-10-09,28,23,16
2022-10-16,25,23,17
2022-10-23,22,23,21
2022-10-30,22,22,25
2022-11-06,20,20,31
2022-11-13,21,24,40
2022-11-20,19,24,44
2022-11-27,20,24,54
2022-12-04,19,27,63
2022-12-11,18,32,62
2022-12-18,17,37,66
2022-12-25,18,47,59
2023-01-01,19,57,62
2023-01-08,19,57,53
2023-01-15,19,57,46
2023-01-22,19,56,38
2023-01-29,17,56,29
2023-02-05,20,48,26
2023-02-12,19,40,21
2023-02-19,19,31,18
2023-02-26,21,29,17
2023-03-05,22,22,15
2023-03-12,23,23,14
2023-03-19,24,21,95
