Category: All categories

Month,soccer balls: (Worldwide)
2004-01,59
2004-02,64
2004-03,70
2004-04,79
2004-05,82
2004-06,70
2004-07,48
2004-08,62
2004-09,65
2004-10,58
2004-11,58
2004-12,52
2005-01,48
2005-02,64
2005-03,54
2005-04,51
2005-05,63
2005-06,55
2005-07,39
2005-08,50
2005-09,56
2005-10,61
2005-11,49
2005-12,48
2006-01,42
2006-02,47
2006-03,52
2006-04,55
2006-05,70
2006-06,100
2006-07,82
2006-08,65
2006-09,60
2006-10,59
2006-11,54
2006-12,45
2007-01,37
2007-02,46
2007-03,45
2007-04,46
2007-05,53
2007-06,44
2007-07,35
2007-08,44
2007-09,58
2007-10,48
2007-11,46
2007-12,45
2008-01,34
2008-02,41
2008-03,43
2008-04,41
2008-05,49
2008-06,39
2008-07,35
2008-08,40
2008-09,47
2008-10,36
2008-11,40
2008-12,31
2009-01,28
2009-02,30
2009-03,37
2009-04,38
2009-05,42
2009-06,35
2009-07,28
2009-08,36
2009-09,42
2009-10,41
2009-11,40
2009-12,38
2010-01,30
2010-02,34
2010-03,39
2010-04,41
2010-05,47
2010-06,96
2010-07,54
2010-08,43
2010-09,50
2010-10,45
2010-11,44
2010-12,39
2011-01,33
2011-02,34
2011-03,38
2011-04,43
2011-05,42
2011-06,37
2011-07,33
2011-08,36
2011-09,42
2011-10,35
2011-11,38
2011-12,37
2012-01,30
2012-02,31
2012-03,34
2012-04,32
2012-05,41
2012-06,44
2012-07,31
2012-08,35
2012-09,38
2012-10,32
2012-11,36
2012-12,34
2013-01,26
2013-02,29
2013-03,32
2013-04,33
2013-05,33
2013-06,32
2013-07,28
2013-08,31
2013-09,35
2013-10,33
2013-11,33
2013-12,35
2014-01,25
2014-02,27
2014-03,28
2014-04,34
2014-05,39
2014-06,63
2014-07,47
2014-08,37
2014-09,43
2014-10,40
2014-11,38
2014-12,41
2015-01,28
2015-02,32
2015-03,37
2015-04,36
2015-05,38
2015-06,37
2015-07,37
2015-08,40
2015-09,41
2015-10,38
2015-11,39
2015-12,38
2016-01,27
2016-02,33
2016-03,34
2016-04,36
2016-05,36
2016-06,40
2016-07,32
2016-08,32
2016-09,34
2016-10,35
2016-11,35
2016-12,34
2017-01,22
2017-02,26
2017-03,28
2017-04,30
2017-05,29
2017-06,26
2017-07,24
2017-08,27
2017-09,30
2017-10,30
2017-11,31
2017-12,27
2018-01,20
2018-02,22
2018-03,24
2018-04,24
2018-05,26
2018-06,32
2018-07,27
2018-08,22
2018-09,24
2018-10,22
2018-11,24
2018-12,23
2019-01,17
2019-02,19
2019-03,21
2019-04,20
2019-05,22
2019-06,23
2019-07,20
2019-08,19
2019-09,24
2019-10,22
2019-11,22
2019-12,22
2020-01,16
2020-02,18
2020-03,20
2020-04,19
2020-05,18
2020-06,17
2020-07,15
2020-08,17
2020-09,20
2020-10,17
2020-11,18
2020-12,16
2021-01,12
2021-02,14
2021-03,17
2021-04,17
2021-05,19
2021-06,19
2021-07,19
2021-08,19
2021-09,20
2021-10,21
2021-11,23
2021-12,18
2022-01,13
2022-02,16
2022-03,18
2022-04,22
2022-05,23
2022-06,21
2022-07,18
2022-08,20
2022-09,20
2022-10,20
2022-11,27
2022-12,30
2023-01,20
2023-02,23
2023-03,21
2023-04,23
2023-05,23
2023-06,24
2023-07,19
2023-08,21
2023-09,24
2023-10,24
2023-11,26
2023-12,23
2024-01,17
2024-02,22
2024-03,24
2024-04,27
2024-05,25
2024-06,24
2024-07,24
2024-08,23
2024-09,26
2024-10,25
2024-11,28
2024-12,25
2025-01,19
2025-02,23
2025-03,25
2025-04,26
2025-05,27
2025-06,26
2025-07,23
2025-08,26
2025-09,28
2025-10,26
2025-11,29
2025-12,30
2026-01,23
2026-02,34
2026-03,32
2026-04,41
2026-05,45
2026-06,66
2026-07,60
2026-08,32
