"Time","wedding venues","engagement rings","divorce lawyer","vasectomy cost"
"2021-08-01",86,84,15,3
"2021-09-01",87,77,14,4
"2021-10-01",87,84,13,3
"2021-11-01",74,94,14,3
"2021-12-01",72,94,12,3
"2022-01-01",100,82,13,4
"2022-02-01",87,76,14,3
"2022-03-01",80,75,15,4
"2022-04-01",75,72,15,3
"2022-05-01",72,66,15,6
"2022-06-01",81,65,16,8
"2022-07-01",86,71,17,6
"2022-08-01",84,73,16,4
"2022-09-01",78,62,15,3
"2022-10-01",76,63,14,4
"2022-11-01",62,66,12,3
"2022-12-01",63,72,12,3
"2023-01-01",89,68,14,3
"2023-02-01",66,63,13,3
"2023-03-01",65,57,13,4
"2023-04-01",64,56,12,3
"2023-05-01",63,57,13,3
"2023-06-01",75,59,13,3
"2023-07-01",76,62,14,3
"2023-08-01",72,59,14,3
"2023-09-01",71,58,13,3
"2023-10-01",70,62,14,3
"2023-11-01",60,69,13,3
"2023-12-01",59,80,12,3
"2024-01-01",81,66,13,3
"2024-02-01",65,61,12,3
"2024-03-01",61,58,13,3
"2024-04-01",69,60,14,3
"2024-05-01",66,57,13,2
"2024-06-01",78,67,18,3
"2024-07-01",76,64,13,3
"2024-08-01",74,66,13,3
"2024-09-01",75,59,13,2
"2024-10-01",73,63,13,3
"2024-11-01",62,68,13,4
"2024-12-01",61,78,12,3
"2025-01-01",83,72,17,3
"2025-02-01",66,64,17,3
"2025-03-01",68,64,18,3
"2025-04-01",65,64,21,3
"2025-05-01",72,65,21,3
"2025-06-01",83,68,22,3
"2025-07-01",86,76,31,3
"2025-08-01",80,72,31,3
"2025-09-01",76,68,27,2
"2025-10-01",72,68,23,3
"2025-11-01",63,75,23,3
"2025-12-01",64,82,22,3
"2026-01-01",80,76,23,3
"2026-02-01",65,69,27,3
"2026-03-01",69,67,31,3
"2026-04-01",67,69,29,3
"2026-05-01",70,70,31,3
"2026-06-01",76,70,32,3
"2026-07-01",78,70,32,3
"2026-08-01",75,69,29,3
