Category: All categories

Month,vasectomy: (United States),divorce: (United States),marriage: (United States),pregnancy test: (United States)
2016-08,5,56,67,25
2016-09,4,66,67,24
2016-10,5,60,71,24
2016-11,5,58,75,23
2016-12,5,67,61,22
2017-01,5,64,70,25
2017-02,5,64,69,24
2017-03,5,59,69,24
2017-04,5,56,68,25
2017-05,5,58,71,24
2017-06,5,58,68,26
2017-07,5,59,70,27
2017-08,5,59,65,26
2017-09,5,54,63,22
2017-10,5,52,65,23
2017-11,5,55,65,24
2017-12,5,51,62,24
2018-01,5,57,64,26
2018-02,5,56,65,25
2018-03,5,63,66,25
2018-04,5,58,66,25
2018-05,5,55,69,24
2018-06,5,57,67,26
2018-07,5,58,69,26
2018-08,5,53,65,26
2018-09,5,54,64,24
2018-10,5,51,64,24
2018-11,6,48,59,24
2018-12,6,48,60,26
2019-01,6,59,68,26
2019-02,5,53,69,26
2019-03,6,50,63,23
2019-04,6,55,62,25
2019-05,8,54,65,24
2019-06,6,55,63,25
2019-07,6,59,66,26
2019-08,5,55,62,25
2019-09,5,54,63,25
2019-10,5,50,62,24
2019-11,5,49,58,23
2019-12,5,48,80,24
2020-01,6,53,76,26
2020-02,6,50,71,23
2020-03,4,42,53,20
2020-04,3,45,54,24
2020-05,4,49,56,23
2020-06,5,54,57,24
2020-07,5,59,65,27
2020-08,5,55,58,24
2020-09,5,59,59,25
2020-10,6,53,66,25
2020-11,5,51,55,24
2020-12,5,48,50,24
2021-01,5,55,55,25
2021-02,6,52,55,26
2021-03,6,51,58,24
2021-04,6,51,56,24
2021-05,6,60,55,23
2021-06,6,52,56,24
2021-07,6,55,54,25
2021-08,6,50,57,24
2021-09,7,52,60,24
2021-10,6,50,62,23
2021-11,6,51,54,24
2021-12,6,50,54,24
2022-01,6,52,55,25
2022-02,6,53,66,25
2022-03,6,53,67,25
2022-04,7,57,69,24
2022-05,9,53,68,23
2022-06,12,51,69,24
2022-07,10,54,72,25
2022-08,7,54,63,23
2022-09,6,52,61,22
2022-10,7,60,58,21
2022-11,6,50,64,22
2022-12,6,47,62,22
2023-01,6,54,61,23
2023-02,7,51,60,22
2023-03,7,56,59,22
2023-04,7,54,62,21
2023-05,7,54,62,21
2023-06,7,55,64,23
2023-07,6,59,66,23
2023-08,6,61,64,21
2023-09,6,62,63,21
2023-10,6,56,64,21
2023-11,6,53,59,22
2023-12,6,51,59,22
2024-01,6,55,63,23
2024-02,6,60,63,22
2024-03,6,57,64,21
2024-04,6,57,62,23
2024-05,6,54,65,22
2024-06,6,57,62,24
2024-07,6,78,62,23
2024-08,6,61,63,23
2024-09,6,60,66,22
2024-10,6,54,67,22
2024-11,8,56,74,23
2024-12,6,56,59,23
2025-01,6,67,72,23
2025-02,6,71,74,23
2025-03,6,64,69,23
2025-04,6,69,71,23
2025-05,6,62,74,23
2025-06,6,68,71,23
2025-07,6,75,81,26
2025-08,6,81,80,23
2025-09,5,67,70,22
2025-10,6,66,82,21
2025-11,6,64,83,23
2025-12,5,67,75,22
2026-01,6,69,86,23
2026-02,6,73,100,23
2026-03,6,72,78,26
2026-04,7,72,84,29
2026-05,6,70,85,27
2026-06,7,87,96,29
2026-07,6,74,84,24
2026-08,6,73,73,22
