Category: All categories

Week,vasectomy: (United States),divorce: (United States),marriage: (United States),pregnancy test: (United States)
2021-08-08,5,42,43,19
2021-08-15,4,43,46,19
2021-08-22,4,43,45,20
2021-08-29,5,40,42,18
2021-09-05,6,41,47,19
2021-09-12,6,39,51,19
2021-09-19,5,39,50,19
2021-09-26,4,40,51,19
2021-10-03,5,39,51,19
2021-10-10,5,41,53,18
2021-10-17,5,41,48,20
2021-10-24,4,38,47,19
2021-10-31,4,37,46,19
2021-11-07,4,39,46,20
2021-11-14,4,41,44,19
2021-11-21,4,37,38,18
2021-11-28,5,39,42,20
2021-12-05,5,39,43,20
2021-12-12,5,40,42,19
2021-12-19,4,40,40,18
2021-12-26,5,44,45,19
2022-01-02,5,42,47,21
2022-01-09,5,41,47,21
2022-01-16,5,39,42,19
2022-01-23,5,40,48,20
2022-01-30,5,42,48,20
2022-02-06,5,43,50,20
2022-02-13,5,44,54,19
2022-02-20,4,44,49,20
2022-02-27,4,42,50,19
2022-03-06,5,42,49,21
2022-03-13,5,42,50,21
2022-03-20,5,42,55,20
2022-03-27,5,41,61,22
2022-04-03,6,42,61,19
2022-04-10,5,43,52,18
2022-04-17,5,46,53,19
2022-04-24,4,44,53,18
2022-05-01,10,44,59,18
2022-05-08,8,43,53,19
2022-05-15,6,42,50,19
2022-05-22,5,40,49,18
2022-05-29,5,42,49,17
2022-06-05,5,42,49,18
2022-06-12,6,41,48,18
2022-06-19,12,43,66,20
2022-06-26,20,42,62,21
2022-07-03,8,42,52,20
2022-07-10,7,43,52,21
2022-07-17,6,45,72,19
2022-07-24,6,44,56,20
2022-07-31,5,42,53,20
2022-08-07,5,42,50,20
2022-08-14,5,41,47,18
2022-08-21,5,47,51,18
2022-08-28,5,43,47,18
2022-09-04,5,42,48,17
2022-09-11,5,43,52,18
2022-09-18,5,43,48,17
2022-09-25,5,43,46,17
2022-10-02,5,58,49,17
2022-10-09,5,45,48,17
2022-10-16,5,41,46,17
2022-10-23,5,46,48,17
2022-10-30,5,42,47,17
2022-11-06,5,40,46,17
2022-11-13,5,41,60,17
2022-11-20,4,36,44,17
2022-11-27,5,38,56,18
2022-12-04,5,40,53,17
2022-12-11,5,38,56,17
2022-12-18,4,35,43,17
2022-12-25,4,41,49,18
2023-01-01,5,43,52,18
2023-01-08,5,39,49,19
2023-01-15,5,43,46,18
2023-01-22,5,41,50,18
2023-01-29,5,41,49,17
2023-02-05,5,42,50,17
2023-02-12,5,42,48,16
2023-02-19,5,41,48,17
2023-02-26,5,45,47,17
2023-03-05,5,42,51,18
2023-03-12,5,41,48,18
2023-03-19,5,43,48,18
2023-03-26,5,42,47,20
2023-04-02,4,43,53,17
2023-04-09,5,44,48,16
2023-04-16,5,43,49,16
2023-04-23,5,44,49,16
2023-04-30,5,45,52,16
2023-05-07,5,44,47,16
2023-05-14,5,43,48,17
2023-05-21,5,42,49,17
2023-05-28,5,48,49,17
2023-06-04,4,42,49,17
2023-06-11,5,44,49,18
2023-06-18,5,44,50,17
2023-06-25,5,44,51,19
2023-07-02,5,46,51,18
2023-07-09,5,47,53,19
2023-07-16,5,47,55,18
2023-07-23,5,46,54,18
2023-07-30,5,47,53,17
2023-08-06,4,46,52,17
2023-08-13,5,46,54,16
2023-08-20,5,47,50,17
2023-08-27,4,48,47,16
2023-09-03,4,53,50,16
2023-09-10,4,54,50,17
2023-09-17,4,50,52,17
2023-09-24,5,44,50,16
2023-10-01,4,45,47,16
2023-10-08,4,44,49,16
2023-10-15,4,45,48,18
2023-10-22,5,43,51,17
2023-10-29,4,42,47,16
2023-11-05,5,44,51,17
2023-11-12,5,42,50,18
2023-11-19,4,39,43,16
2023-11-26,4,40,49,18
2023-12-03,4,41,47,18
2023-12-10,5,40,46,17
2023-12-17,5,39,46,17
2023-12-24,5,43,48,17
2023-12-31,5,45,51,18
2024-01-07,5,48,46,18
2024-01-14,4,43,48,17
2024-01-21,4,45,51,18
2024-01-28,5,43,51,16
2024-02-04,4,45,48,17
2024-02-11,5,44,50,16
2024-02-18,5,44,50,17
2024-02-25,5,50,50,17
2024-03-03,5,44,49,17
2024-03-10,5,44,52,17
2024-03-17,5,43,56,17
2024-03-24,5,48,47,16
2024-03-31,5,47,48,19
2024-04-07,5,45,48,17
2024-04-14,5,46,50,17
2024-04-21,5,44,52,17
2024-04-28,4,42,49,18
2024-05-05,5,42,56,18
2024-05-12,5,49,50,18
2024-05-19,4,47,48,17
2024-05-26,5,45,49,18
2024-06-02,5,44,52,18
2024-06-09,5,48,51,18
2024-06-16,5,48,49,18
2024-06-23,5,46,47,19
2024-06-30,4,46,53,18
2024-07-07,5,63,51,19
2024-07-14,5,75,53,18
2024-07-21,5,53,51,19
2024-07-28,5,50,48,18
2024-08-04,4,47,51,17
2024-08-11,5,46,47,17
2024-08-18,6,52,50,18
2024-08-25,4,47,48,17
2024-09-01,4,48,45,17
2024-09-08,4,48,50,17
2024-09-15,4,46,49,18
2024-09-22,4,46,53,17
2024-09-29,4,47,53,17
2024-10-06,4,43,47,17
2024-10-13,4,42,57,17
2024-10-20,4,45,57,18
2024-10-27,4,43,53,18
2024-11-03,6,42,71,17
2024-11-10,5,45,60,18
2024-11-17,6,47,55,18
2024-11-24,5,43,47,17
2024-12-01,4,45,51,19
2024-12-08,5,42,50,18
2024-12-15,5,42,52,18
2024-12-22,5,45,49,18
2024-12-29,5,49,53,19
2025-01-05,5,47,56,19
2025-01-12,5,51,58,19
2025-01-19,5,58,61,18
2025-01-26,5,61,65,18
2025-02-02,5,54,58,18
2025-02-09,4,53,56,17
2025-02-16,5,54,57,18
2025-02-23,5,50,64,19
2025-03-02,5,50,58,18
2025-03-09,5,53,56,18
2025-03-16,5,52,51,18
2025-03-23,5,50,54,18
2025-03-30,5,52,55,21
2025-04-06,5,56,55,17
2025-04-13,5,61,57,17
2025-04-20,5,52,58,17
2025-04-27,5,51,55,18
2025-05-04,5,49,60,19
2025-05-11,5,48,62,18
2025-05-18,5,48,58,18
2025-05-25,5,52,56,19
2025-06-01,4,51,54,18
2025-06-08,4,55,55,18
2025-06-15,4,55,55,17
2025-06-22,4,56,59,18
2025-06-29,5,52,54,18
2025-07-06,4,62,68,20
2025-07-13,5,63,63,21
2025-07-20,4,68,68,20
2025-07-27,5,68,71,21
2025-08-03,4,63,61,19
2025-08-10,5,85,80,19
2025-08-17,5,64,55,18
2025-08-24,4,56,55,17
2025-08-31,4,54,55,18
2025-09-07,4,48,53,16
2025-09-14,4,51,53,17
2025-09-21,4,50,58,17
2025-09-28,4,58,58,17
2025-10-05,4,54,63,17
2025-10-12,5,51,66,17
2025-10-19,5,54,64,18
2025-10-26,4,48,57,16
2025-11-02,4,49,74,18
2025-11-09,4,53,71,18
2025-11-16,5,51,59,19
2025-11-23,4,49,55,18
2025-11-30,4,52,61,19
2025-12-07,4,53,63,18
2025-12-14,4,51,59,17
2025-12-21,4,51,57,17
2025-12-28,4,58,68,19
2026-01-04,4,59,69,19
2026-01-11,5,59,66,19
2026-01-18,4,53,67,18
2026-01-25,4,54,68,17
2026-02-01,4,59,83,17
2026-02-08,4,55,74,17
2026-02-15,5,58,82,17
2026-02-22,4,60,77,18
2026-03-01,5,57,66,19
2026-03-08,5,57,64,19
2026-03-15,5,58,66,19
2026-03-22,5,57,65,21
2026-03-29,4,56,63,24
2026-04-05,5,56,66,22
2026-04-12,4,56,65,22
2026-04-19,6,55,66,22
2026-04-26,5,54,66,20
2026-05-03,5,55,63,21
2026-05-10,5,54,65,21
2026-05-17,5,53,70,21
2026-05-24,5,60,72,23
2026-05-31,5,62,77,25
2026-06-07,5,62,72,25
2026-06-14,5,100,75,25
2026-06-21,5,66,74,24
2026-06-28,5,61,67,20
2026-07-05,4,63,72,20
2026-07-12,5,63,62,19
2026-07-19,5,58,60,19
2026-07-26,5,59,61,17
2026-08-02,5,55,57,16
2026-08-09,4,56,67,17
