"Time","birth"
"2021-08-01",59
"2021-09-01",58
"2021-10-01",54
"2021-11-01",59
"2021-12-01",58
"2022-01-01",66
"2022-02-01",66
"2022-03-01",68
"2022-04-01",69
"2022-05-01",72
"2022-06-01",66
"2022-07-01",67
"2022-08-01",61
"2022-09-01",59
"2022-10-01",60
"2022-11-01",60
"2022-12-01",59
"2023-01-01",66
"2023-02-01",68
"2023-03-01",64
"2023-04-01",65
"2023-05-01",63
"2023-06-01",57
"2023-07-01",62
"2023-08-01",62
"2023-09-01",59
"2023-10-01",62
"2023-11-01",60
"2023-12-01",66
"2024-01-01",66
"2024-02-01",69
"2024-03-01",65
"2024-04-01",66
"2024-05-01",66
"2024-06-01",63
"2024-07-01",66
"2024-08-01",65
"2024-09-01",63
"2024-10-01",62
"2024-11-01",68
"2024-12-01",65
"2025-01-01",71
"2025-02-01",75
"2025-03-01",71
"2025-04-01",74
"2025-05-01",68
"2025-06-01",69
"2025-07-01",84
"2025-08-01",68
"2025-09-01",69
"2025-10-01",68
"2025-11-01",68
"2025-12-01",74
"2026-01-01",83
"2026-02-01",100
"2026-03-01",84
"2026-04-01",85
"2026-05-01",85
"2026-06-01",81
"2026-07-01",78
"2026-08-01",71
