Category: All categories

Week,engagement rings: (United States)
2021-08-08,79
2021-08-15,73
2021-08-22,74
2021-08-29,68
2021-09-05,71
2021-09-12,76
2021-09-19,74
2021-09-26,74
2021-10-03,79
2021-10-10,72
2021-10-17,76
2021-10-24,80
2021-10-31,78
2021-11-07,87
2021-11-14,81
2021-11-21,95
2021-11-28,94
2021-12-05,88
2021-12-12,84
2021-12-19,97
2021-12-26,100
2022-01-02,79
2022-01-09,71
2022-01-16,65
2022-01-23,65
2022-01-30,68
2022-02-06,67
2022-02-13,77
2022-02-20,74
2022-02-27,69
2022-03-06,67
2022-03-13,70
2022-03-20,68
2022-03-27,67
2022-04-03,66
2022-04-10,73
2022-04-17,68
2022-04-24,67
2022-05-01,65
2022-05-08,59
2022-05-15,54
2022-05-22,51
2022-05-29,59
2022-06-05,59
2022-06-12,58
2022-06-19,61
2022-06-26,55
2022-07-03,65
2022-07-10,62
2022-07-17,65
2022-07-24,63
2022-07-31,66
2022-08-07,62
2022-08-14,65
2022-08-21,61
2022-08-28,58
2022-09-04,57
2022-09-11,53
2022-09-18,55
2022-09-25,56
2022-10-02,56
2022-10-09,58
2022-10-16,56
2022-10-23,53
2022-10-30,56
2022-11-06,56
2022-11-13,61
2022-11-20,70
2022-11-27,66
2022-12-04,61
2022-12-11,66
2022-12-18,63
2022-12-25,78
2023-01-01,69
2023-01-08,61
2023-01-15,61
2023-01-22,57
2023-01-29,60
2023-02-05,52
2023-02-12,57
2023-02-19,54
2023-02-26,45
2023-03-05,50
2023-03-12,51
2023-03-19,51
2023-03-26,54
2023-04-02,52
2023-04-09,53
2023-04-16,49
2023-04-23,50
2023-04-30,48
2023-05-07,50
2023-05-14,54
2023-05-21,52
2023-05-28,51
2023-06-04,51
2023-06-11,54
2023-06-18,54
2023-06-25,54
2023-07-02,54
2023-07-09,54
2023-07-16,55
2023-07-23,54
2023-07-30,56
2023-08-06,55
2023-08-13,53
2023-08-20,52
2023-08-27,50
2023-09-03,55
2023-09-10,51
2023-09-17,50
2023-09-24,51
2023-10-01,52
2023-10-08,56
2023-10-15,54
2023-10-22,56
2023-10-29,55
2023-11-05,60
2023-11-12,59
2023-11-19,76
2023-11-26,72
2023-12-03,74
2023-12-10,71
2023-12-17,75
2023-12-24,80
2023-12-31,71
2024-01-07,60
2024-01-14,59
2024-01-21,58
2024-01-28,52
2024-02-04,54
2024-02-11,56
2024-02-18,57
2024-02-25,50
2024-03-03,48
2024-03-10,50
2024-03-17,50
2024-03-24,51
2024-03-31,50
2024-04-07,45
2024-04-14,53
2024-04-21,54
2024-04-28,50
2024-05-05,52
2024-05-12,49
2024-05-19,50
2024-05-26,55
2024-06-02,53
2024-06-09,57
2024-06-16,59
2024-06-23,58
2024-06-30,60
2024-07-07,64
2024-07-14,53
2024-07-21,56
2024-07-28,55
2024-08-04,54
2024-08-11,59
2024-08-18,63
2024-08-25,51
2024-09-01,56
2024-09-08,51
2024-09-15,53
2024-09-22,52
2024-09-29,54
2024-10-06,51
2024-10-13,53
2024-10-20,58
2024-10-27,51
2024-11-03,54
2024-11-10,63
2024-11-17,61
2024-11-24,67
2024-12-01,62
2024-12-08,69
2024-12-15,74
2024-12-22,83
2024-12-29,82
2025-01-05,70
2025-01-12,65
2025-01-19,59
2025-01-26,59
2025-02-02,61
2025-02-09,56
2025-02-16,63
2025-02-23,52
2025-03-02,52
2025-03-09,57
2025-03-16,55
2025-03-23,54
2025-03-30,56
2025-04-06,51
2025-04-13,55
2025-04-20,51
2025-04-27,58
2025-05-04,67
2025-05-11,58
2025-05-18,56
2025-05-25,57
2025-06-01,61
2025-06-08,56
2025-06-15,59
2025-06-22,58
2025-06-29,61
2025-07-06,63
2025-07-13,61
2025-07-20,68
2025-07-27,63
2025-08-03,66
2025-08-10,69
2025-08-17,56
2025-08-24,75
2025-08-31,67
2025-09-07,56
2025-09-14,62
2025-09-21,65
2025-09-28,63
2025-10-05,58
2025-10-12,64
2025-10-19,60
2025-10-26,55
2025-11-02,61
2025-11-09,66
2025-11-16,66
2025-11-23,70
2025-11-30,69
2025-12-07,72
2025-12-14,71
2025-12-21,81
2025-12-28,82
2026-01-04,71
2026-01-11,69
2026-01-18,63
2026-01-25,58
2026-02-01,59
2026-02-08,63
2026-02-15,70
2026-02-22,64
2026-03-01,59
2026-03-08,58
2026-03-15,63
2026-03-22,58
2026-03-29,62
2026-04-05,64
2026-04-12,59
2026-04-19,60
2026-04-26,61
2026-05-03,62
2026-05-10,65
2026-05-17,65
2026-05-24,64
2026-05-31,66
2026-06-07,60
2026-06-14,58
2026-06-21,62
2026-06-28,66
2026-07-05,65
2026-07-12,61
2026-07-19,60
2026-07-26,66
2026-08-02,65
2026-08-09,67
