"Time","vasectomy"
"2021-08-01",47
"2021-09-01",59
"2021-10-01",48
"2021-11-01",47
"2021-12-01",46
"2022-01-01",51
"2022-02-01",50
"2022-03-01",52
"2022-04-01",54
"2022-05-01",76
"2022-06-01",100
"2022-07-01",76
"2022-08-01",56
"2022-09-01",48
"2022-10-01",55
"2022-11-01",54
"2022-12-01",49
"2023-01-01",51
"2023-02-01",57
"2023-03-01",54
"2023-04-01",53
"2023-05-01",52
"2023-06-01",52
"2023-07-01",50
"2023-08-01",48
"2023-09-01",46
"2023-10-01",45
"2023-11-01",49
"2023-12-01",49
"2024-01-01",51
"2024-02-01",50
"2024-03-01",52
"2024-04-01",48
"2024-05-01",50
"2024-06-01",48
"2024-07-01",49
"2024-08-01",52
"2024-09-01",45
"2024-10-01",45
"2024-11-01",60
"2024-12-01",50
"2025-01-01",51
"2025-02-01",47
"2025-03-01",49
"2025-04-01",51
"2025-05-01",50
"2025-06-01",49
"2025-07-01",48
"2025-08-01",48
"2025-09-01",43
"2025-10-01",46
"2025-11-01",45
"2025-12-01",45
"2026-01-01",49
"2026-02-01",46
"2026-03-01",50
"2026-04-01",54
"2026-05-01",53
"2026-06-01",54
"2026-07-01",49
"2026-08-01",48
