"Time","wedding"
"2021-08-01",72
"2021-09-01",71
"2021-10-01",67
"2021-11-01",59
"2021-12-01",52
"2022-01-01",74
"2022-02-01",69
"2022-03-01",72
"2022-04-01",73
"2022-05-01",73
"2022-06-01",72
"2022-07-01",77
"2022-08-01",81
"2022-09-01",72
"2022-10-01",67
"2022-11-01",59
"2022-12-01",50
"2023-01-01",70
"2023-02-01",62
"2023-03-01",63
"2023-04-01",66
"2023-05-01",68
"2023-06-01",69
"2023-07-01",72
"2023-08-01",69
"2023-09-01",71
"2023-10-01",64
"2023-11-01",55
"2023-12-01",50
"2024-01-01",68
"2024-02-01",63
"2024-03-01",60
"2024-04-01",64
"2024-05-01",63
"2024-06-01",72
"2024-07-01",73
"2024-08-01",71
"2024-09-01",70
"2024-10-01",63
"2024-11-01",54
"2024-12-01",52
"2025-01-01",62
"2025-02-01",64
"2025-03-01",66
"2025-04-01",67
"2025-05-01",71
"2025-06-01",81
"2025-07-01",79
"2025-08-01",70
"2025-09-01",71
"2025-10-01",66
"2025-11-01",60
"2025-12-01",57
"2026-01-01",75
"2026-02-01",77
"2026-03-01",74
"2026-04-01",86
"2026-05-01",87
"2026-06-01",83
"2026-07-01",100
"2026-08-01",81
